	N1_1	N2_1	N3_1	N4_1	N5_1	N7_1	N9_1	N11_1	N13_1	N14_1	N15_1	W1_1	W3_1	W5_1	W6_1	W7_1	W10_1	W11_1	W12_1	W14_1
248902	9963	4097	5262	615	4976	191	146	125	102	45	98	37	43	91	2873	309	112	82	452	224
4482516	6380	335	5681	745	7977	186	84	77	94	78	99	86	57	75	1330	2053	39	52	120	120
4429771	554	4913	1332	1594	233	815	850	276	775	157	826	734	1001	663	1804	757	3952	3017	940	280
315609	15	378	387	1058	201	1135	974	276	942	527	2822	748	3410	3068	768	250	3150	1712	382	402
107738	3	2	14	1314	30	1294	2944	2774	1375	3969	2065	2193	587	851	72	551	66	212	382	236
334386	4	18	25	943	46	869	1152	496	999	381	575	2097	1512	1079	485	179	336	453	406	216
2641602	66	973	205	113	493	36	39	18	939	38	131	24	70	3077	279	129	421	1311	2324	1344
545460	2	0	3	312	20	612	1162	1093	652	2137	958	1956	487	750	63	310	43	97	277	254
103802	0	5	8	241	2	492	957	997	686	295	876	1050	2151	483	25	109	1200	764	238	97
36075	2	19	28	724	93	858	1097	485	866	205	545	1800	1206	632	524	158	400	466	388	117
4457829	461	257	1936	603	484	166	114	230	243	478	746	151	417	537	807	226	375	373	1027	589
4362165	252	985	219	349	131	491	369	195	450	101	462	450	726	375	1060	269	1524	996	239	140
613196	59	2491	720	730	364	689	884	342	499	139	401	143	212	235	186	67	285	338	211	104
348395	6	73	45	167	43	444	367	138	295	216	933	210	645	1008	919	283	1417	1398	232	129
New.ReferenceOTU6862	1	0	3	1644	1	675	1178	1299	568	1926	468	78	46	30	19	81	4	21	56	34
99774	8	417	116	94	6	73	92	109	483	37	332	680	2222	309	166	714	1054	920	31	106
3447863	0	2	4	691	2	786	607	914	598	415	630	1062	585	174	42	123	89	250	105	82
1120966	12	36	13	478	7	632	414	606	832	274	896	160	242	299	379	72	550	252	720	188
243487	14	37	19	233	25	426	453	212	506	104	360	593	740	412	1058	283	522	583	226	92
4438548	7	384	20	7	11	25	8	16	74	10	94	43	65	42	558	862	753	2940	192	375
756100	1	0	7	343	1	540	1008	1044	518	1589	562	78	13	15	72	320	27	42	120	79
4483490	18	415	79	63	144	47	41	15	560	22	110	29	101	1389	271	59	574	960	831	382
715163	1	0	4	566	2	435	792	925	445	1370	426	69	8	16	75	489	3	23	63	77
334370	9	1407	331	64	28	94	59	104	133	11	109	476	1610	118	39	218	212	266	20	65
3235430	2	6	3	226	13	450	490	218	349	110	342	691	840	353	275	61	265	216	135	64
678717	1425	22	1279	119	952	50	47	46	23	29	33	38	18	45	210	324	10	45	56	74
4430221	22	301	95	58	124	58	49	6	400	20	122	53	97	1103	188	41	396	675	632	385
813668	0	0	1	239	4	189	458	533	242	801	259	1256	172	194	15	134	14	37	159	107
701385	7	4	9	983	24	488	337	307	167	732	248	22	11	9	257	629	8	21	133	235
812835	4	0	1	52	8	16	84	28	29	6	17	0	0	2	994	924	1773	413	169	3
826611	11	13	51	29	37	32	42	35	36	17	60	32	1307	1744	10	150	77	197	91	90
4400482	1153	76	757	146	1129	43	17	29	20	15	18	6	6	14	198	303	12	13	47	47
4388545	243	595	145	363	42	265	141	85	139	110	171	223	130	126	249	70	319	164	282	160
4377697	6	65	16	194	11	260	200	232	341	117	345	48	164	247	166	39	482	269	351	252
74685	6	84	12	178	15	309	213	338	394	126	409	29	92	124	298	42	356	279	197	219
153559	300	274	805	63	412	25	19	34	139	67	169	8	25	53	293	71	148	127	378	307
1106349	34	110	13	15	6	31	1	20	573	32	195	5	20	361	166	30	149	340	558	906
750263	88	13	184	188	267	102	91	117	70	100	99	20	19	57	177	282	62	59	644	837
356574	74	2	778	80	251	58	53	76	33	44	60	3	94	250	13	574	14	288	47	678
1634029	9	278	42	46	70	24	19	5	21	9	48	2	31	849	68	42	388	320	638	499
353491	5	21	3	116	4	355	364	247	319	151	298	220	317	209	170	27	153	98	180	64
4362005	1	1	4	22	18	9	48	7	8	13	61	4	3	400	222	1174	37	675	140	445
4325011	101	312	126	81	122	160	37	61	122	40	103	69	70	42	455	114	188	274	215	581
1523245	54	331	110	123	52	199	111	68	131	50	193	160	198	96	362	62	337	175	129	147
4321860	19	13	63	18	77	97	44	36	31	25	32	29	59	611	99	649	58	348	214	233
6955	83	142	37	45	49	63	45	16	262	23	70	65	68	414	107	24	133	241	504	324
4451935	0	0	0	350	0	265	198	346	208	455	262	89	58	63	104	154	4	15	51	61
627587	6	2365	176	16	6	4	0	0	3	1	1	0	0	6	0	1	2	6	1	1
4478992	762	30	698	112	662	15	2	6	10	8	10	3	11	5	89	131	4	0	8	14
4478586	0	0	0	87	5	149	307	407	155	560	254	212	37	73	6	93	4	22	114	56
683853	3	2375	12	6	3	5	4	0	10	2	7	5	7	4	5	5	24	7	7	37
97153	42	63	184	115	48	88	47	50	81	61	236	83	225	138	262	53	240	163	178	81
4477199	33	237	51	145	23	159	113	151	187	69	138	102	80	56	203	45	211	133	182	58
3701019	34	95	141	123	87	51	42	43	74	86	249	34	135	209	195	38	154	145	290	142
70346	0	4	9	205	11	200	123	261	153	92	162	180	113	58	39	113	105	255	75	41
New.ReferenceOTU48351	1	0	6	310	1	187	241	443	239	382	176	20	6	1	5	41	2	3	8	8
516569	0	0	4	325	12	308	280	324	117	134	50	13	1	9	5	7	5	23	448	14
1143820	48	268	41	85	35	111	112	49	82	26	98	76	80	93	173	19	236	166	144	78
338840	6	7	8	256	8	214	174	101	122	95	161	163	123	181	94	27	46	29	124	73
331865	532	8	492	45	418	27	28	15	14	11	16	13	7	15	88	119	5	15	21	48
310563	5	53	14	84	12	91	87	45	96	45	167	23	146	441	50	7	265	199	64	39
328912	0	27	15	42	30	167	91	37	140	55	196	61	149	272	77	9	239	135	107	68
4345058	0	0	0	319	0	156	194	352	195	362	148	11	0	3	32	111	0	6	4	10
729833	0	1	0	27	0	100	357	500	163	67	134	63	22	5	1	0	3	2	419	26
726730	26	18	155	122	370	122	70	63	52	36	76	11	135	345	19	103	11	75	35	44
228077	81	182	23	98	17	153	108	33	85	32	118	175	95	66	117	21	161	79	150	60
341259	34	294	59	86	22	76	86	28	65	17	80	69	95	48	136	61	256	230	62	30
331093	0	0	0	31	1	103	199	234	106	309	156	469	60	55	4	30	3	6	40	14
320797	0	0	3	63	1	54	50	174	45	136	37	798	96	36	4	272	0	6	7	24
834138	116	159	35	141	23	74	53	42	103	24	59	99	70	75	145	34	90	52	234	162
4320368	16	158	22	11	58	24	21	7	141	4	19	23	32	223	72	17	176	285	329	111
4315641	39	97	37	165	34	115	104	78	147	37	111	133	89	41	102	13	168	80	89	58
3091248	1	2	5	225	2	471	159	164	96	86	95	14	26	39	34	102	22	52	50	41
New.ReferenceOTU3284	525	25	364	24	564	3	1	3	2	2	1	1	1	2	107	20	2	1	11	2
846892	0	0	0	14	0	103	349	564	103	373	85	29	6	1	3	10	1	0	5	13
4366724	68	126	214	28	94	24	13	19	91	16	133	10	29	36	158	26	136	83	197	123
4479347	126	734	33	25	11	39	9	14	40	3	10	190	194	40	13	8	50	11	21	22
New.ReferenceOTU19413	20	41	86	48	38	40	55	33	40	46	116	59	107	69	173	23	197	90	153	66
1039594	2	66	19	114	24	183	180	56	145	21	69	62	81	103	58	18	72	70	96	40
2045262	0	4	6	139	10	90	87	77	62	113	266	22	66	297	20	1	28	37	74	39
4408741	0	0	0	3	0	14	1	17	5	11	6	1004	326	9	1	0	0	0	0	0
1124273	2	11	4	24	2	14	22	74	76	12	27	148	61	96	154	362	50	104	29	23
4375703	0	0	1	67	0	486	97	89	64	55	55	41	66	53	10	54	31	23	40	42
2801322	2	1	15	193	5	43	51	42	23	38	25	1	0	0	308	403	16	12	65	14
4409730	485	15	288	33	170	6	15	16	2	10	6	18	7	11	69	44	3	11	6	35
581541	0	0	0	57	1	80	105	191	95	142	86	242	45	9	27	139	1	5	14	10
347847	4	211	52	27	5	39	24	13	29	1	18	84	131	59	18	45	84	141	31	187
264229	3	56	11	4	14	2	0	3	7	2	10	0	1	0	17	52	21	427	134	436
3167757	6	16	5	32	1	123	68	117	136	24	68	109	83	22	78	8	89	53	112	48
4456142	335	16	291	36	314	10	4	1	2	2	2	2	4	0	66	81	5	1	4	6
2242061	0	13	3	1	2	6	11	5	10	1	24	4	6	7	32	71	45	173	118	626
4409398	21	198	43	57	7	62	147	32	47	16	63	71	77	21	94	9	90	43	34	21
353271	0	0	0	117	0	192	118	112	125	96	113	54	52	29	48	34	3	7	23	16
354682	0	0	7	87	6	322	93	73	64	40	103	29	81	36	18	34	65	34	16	24
4301165	11	76	6	17	7	82	26	48	88	17	33	252	206	46	39	4	52	19	49	44
463546	12	265	113	69	48	106	74	42	76	24	50	13	36	14	31	10	25	29	32	20
339773	1	0	2	175	0	195	84	116	116	65	96	19	13	23	95	27	11	15	20	15
2193695	2	1	0	104	0	20	14	21	5	13	1	0	1	3	283	497	0	10	62	33
719367	217	349	33	19	9	26	14	13	31	1	10	93	81	27	21	10	51	12	20	11
353224	0	0	0	223	0	109	195	192	107	142	66	0	0	0	0	0	0	0	0	4
25051	43	25	217	66	190	29	14	13	13	5	17	1	7	23	109	53	52	48	71	33
242136	2	2	49	99	24	35	15	5	3	14	9	34	14	104	59	299	128	41	35	28
349828	1	2	0	52	8	70	136	28	65	19	30	231	99	44	69	9	46	50	34	5
New.ReferenceOTU51473	275	19	195	7	388	3	2	2	2	0	0	0	2	0	71	27	1	0	0	2
345322	274	0	250	12	355	3	1	0	2	0	2	1	1	1	34	46	0	1	3	7
4324048	0	3	5	0	1	68	42	71	60	88	363	2	3	55	18	36	34	60	54	16
159950	9	72	27	52	27	117	124	42	101	16	64	33	58	39	44	3	58	37	29	14
4441793	13	2	25	26	234	55	38	18	14	8	21	7	3	20	36	284	10	37	18	92
New.ReferenceOTU599	354	4	232	13	249	4	4	1	0	0	1	1	0	2	70	13	0	1	1	7
4424705	0	1	3	44	1	164	101	34	82	38	64	116	126	22	39	13	21	20	37	28
1117593	17	46	10	13	4	30	22	6	507	8	29	42	33	20	72	14	19	13	27	13
726414	1	0	2	13	9	30	35	41	14	66	32	516	68	36	2	53	1	7	5	14
100595	0	0	0	39	1	60	103	115	74	252	78	33	8	8	9	67	0	9	44	43
2725587	3	1	5	51	1	63	42	53	103	58	72	62	45	69	68	28	39	20	119	27
4444340	21	28	116	69	26	18	15	19	34	24	84	18	60	49	71	18	98	59	62	30
2190672	2	9	5	37	13	18	9	32	20	3	12	13	28	55	53	135	37	141	105	191
New.ReferenceOTU29597	1	0	1	44	2	89	114	70	88	60	104	145	66	50	6	12	7	17	29	10
154435	0	0	0	0	1	28	128	159	148	31	101	0	0	0	25	3	4	15	223	22
170339	2	18	1	25	2	42	68	81	137	59	68	24	13	8	88	21	29	50	97	26
4400097	0	0	0	1	0	3	8	0	17	2	2	611	169	25	0	5	3	8	2	1
1138568	3	37	3	4	2	5	3	1	3	0	10	8	8	5	204	236	54	232	12	25
710745	0	0	0	8	0	3	3	43	36	8	23	122	35	414	10	34	9	82	20	3
New.ReferenceOTU5294	66	175	94	32	87	24	19	9	15	2	7	5	13	12	179	8	28	20	41	15
4343367	0	0	3	48	3	71	142	117	70	187	96	34	11	14	0	16	1	3	14	14
412392	8	117	22	61	14	66	129	26	53	25	40	34	41	17	68	4	28	13	48	20
New.ReferenceOTU43530	60	31	95	46	196	25	7	11	21	6	16	17	19	9	153	65	17	15	8	14
855118	2	32	11	27	8	41	28	8	33	11	47	21	66	29	59	5	273	106	21	3
304640	0	4	2	58	4	57	65	69	54	17	45	27	26	29	10	23	146	96	58	36
3981263	3	0	0	14	3	49	31	26	41	15	68	0	0	72	19	10	11	80	130	248
1115572	1	29	14	2	3	5	1	2	6	0	7	3	8	2	62	103	90	263	22	195
4400096	0	0	1	87	0	35	25	18	32	5	11	345	183	13	2	8	21	13	3	1
132814	9	12	4	29	4	92	39	49	70	25	77	32	89	18	55	11	50	20	78	38
New.ReferenceOTU52852	0	45	8	9	0	7	6	7	29	2	24	49	168	12	35	25	144	160	15	37
New.ReferenceOTU17853	232	9	178	4	266	3	1	3	0	0	1	0	0	1	65	14	0	1	1	2
758877	0	17	0	4	5	4	6	4	127	3	18	1	16	120	24	2	58	70	231	64
3438276	196	0	208	7	257	1	1	0	1	0	0	3	0	1	31	57	0	0	1	2
1114448	0	32	5	153	21	35	11	17	46	54	34	69	27	41	43	38	65	19	41	7
688993	8	0	27	9	18	7	3	10	4	49	5	0	3	13	5	51	11	37	72	412
324677	0	5	3	3	2	9	16	9	23	5	67	0	17	181	20	29	145	172	21	14
1087471	0	0	0	281	12	49	12	19	13	104	48	2	0	3	18	47	19	16	60	34
174960	192	22	161	33	186	8	1	2	6	0	2	2	1	10	30	39	0	1	11	20
576785	9	99	34	23	18	47	41	14	31	10	25	22	26	23	54	17	111	58	45	14
1117069	1	12	5	5	2	6	3	2	221	12	41	3	4	80	20	6	28	86	105	75
3189294	0	1	3	69	8	49	40	99	36	68	58	63	54	25	20	34	8	17	53	6
1120835	2	1	8	39	9	24	13	18	10	114	27	2	4	5	41	106	14	16	109	147
322506	36	31	13	31	8	82	57	19	46	11	27	124	52	7	59	10	38	13	28	11
141856	0	0	0	11	0	20	16	149	75	89	128	11	29	84	2	13	21	20	28	5
237444	115	18	192	58	124	13	4	3	64	6	5	6	20	6	32	21	0	4	0	4
2313705	0	0	8	74	15	14	12	15	5	24	25	7	2	38	25	294	17	51	34	25
347529	108	90	78	26	92	16	10	9	12	6	3	6	14	11	118	14	8	7	36	20
586939	0	1	1	28	0	4	3	1	3	5	1	0	0	1	205	368	1	3	34	11
New.ReferenceOTU17211	0	0	0	5	1	30	91	80	23	193	61	102	24	26	1	11	2	4	15	1
315805	18	20	42	56	16	22	24	16	41	10	48	27	52	49	65	14	28	30	55	32
995583	0	0	0	15	0	38	12	7	7	141	94	0	0	6	1	8	120	43	130	41
1052264	0	1	7	1	0	2	1	2	6	0	4	2	127	7	1	20	144	90	2	234
New.ReferenceOTU5508	0	3	2	41	4	72	55	30	39	47	116	12	39	85	9	1	28	19	34	15
New.ReferenceOTU55584	0	0	0	48	0	42	124	115	32	210	37	3	1	1	3	21	0	2	4	1
4410507	1	4	10	23	3	60	42	21	30	20	101	25	49	80	27	3	46	33	49	11
New.ReferenceOTU24081	0	0	0	40	0	80	50	46	37	18	54	96	59	22	16	7	35	47	20	10
807278	0	0	0	36	1	51	63	118	52	123	48	41	6	4	2	33	10	7	21	15
4418832	132	1	109	26	269	4	1	0	1	0	0	0	1	0	27	48	1	0	3	4
239863	131	7	140	26	204	2	2	4	7	2	4	0	1	3	29	52	1	0	2	5
4481484	0	46	3	3	0	8	2	9	21	1	14	84	60	45	23	105	65	99	7	16
1574711	1	6	0	9	0	2	4	6	10	1	9	24	8	17	24	40	10	88	14	335
324890	7	10	28	24	17	25	20	8	20	20	56	28	59	39	89	12	50	38	42	16
242577	0	0	0	79	4	69	93	70	50	82	65	4	3	11	3	25	7	10	18	15
4421534	3	2	0	115	0	63	42	40	50	23	53	24	28	35	18	7	24	14	25	20
307281	0	0	0	32	0	57	81	122	74	128	63	11	2	0	2	7	0	1	0	1
1134389	0	0	0	0	0	0	1	1	1	0	5	0	0	1	0	14	71	414	2	68
486195	2	369	11	3	2	3	4	3	14	3	5	5	10	7	2	3	22	13	17	79
4357886	4	1	4	97	4	42	31	31	15	78	23	0	3	3	32	49	10	9	54	74
New.ReferenceOTU5455	0	0	0	56	0	42	95	113	48	121	51	6	1	1	1	5	0	1	1	3
763765	0	0	0	22	1	45	96	77	42	131	70	10	1	4	1	23	1	2	7	4
New.ReferenceOTU42645	0	0	0	10	0	51	70	44	36	39	45	98	61	29	5	9	10	11	11	7
82365	3	7	2	7	0	24	10	8	23	1	7	246	144	7	15	2	9	1	12	7
New.ReferenceOTU47004	0	0	0	64	1	51	92	81	39	160	33	3	2	0	1	4	0	0	1	1
527415	16	17	7	19	1	26	23	17	41	15	31	22	49	27	28	0	72	13	72	20
New.ReferenceOTU1375	0	0	0	47	0	49	59	91	58	130	52	11	1	1	1	4	0	0	2	3
New.ReferenceOTU19781	0	0	0	21	0	25	16	41	21	22	17	195	106	2	0	2	16	20	1	1
810672	0	0	0	45	2	28	39	43	16	12	34	11	96	116	3	33	2	9	8	6
333500	0	2	9	61	3	156	45	29	13	17	14	6	3	11	15	20	29	22	25	19
4445104	0	3	3	55	25	156	61	86	75	12	9	0	0	1	0	2	1	3	3	3
1758401	161	1	107	18	128	6	3	4	5	2	1	4	0	2	15	19	5	4	6	7
808071	1	1	2	9	0	9	4	23	7	4	24	62	19	50	12	86	16	54	68	40
103444	10	6	17	3	6	6	1	27	38	36	46	3	2	26	16	4	18	8	82	129
2440020	4	10	0	52	1	56	26	8	22	14	28	86	49	19	33	4	18	9	29	15
702999	0	0	0	23	0	15	16	87	78	50	42	22	54	16	1	3	41	17	8	5
142681	0	0	0	68	0	61	66	133	37	51	29	0	4	0	0	15	1	3	4	5
New.ReferenceOTU3417	0	0	0	33	0	167	32	24	27	23	14	17	41	24	3	6	29	8	16	12
New.ReferenceOTU40557	5	16	29	10	27	1	2	1	23	0	12	2	9	76	20	2	15	45	130	49
1656943	1	1	2	2	5	6	0	2	3	3	9	0	2	22	5	11	0	3	40	349
152835	0	0	5	127	0	47	58	85	42	27	17	0	3	2	4	12	2	6	17	9
113128	4	16	13	9	15	48	14	20	39	11	50	5	15	13	35	2	48	16	51	35
4432516	117	9	72	7	199	2	1	0	2	0	1	0	0	1	33	11	0	0	2	0
350458	0	0	1	69	0	43	66	88	33	89	41	3	0	0	1	19	0	1	1	0
New.ReferenceOTU46459	16	11	41	17	16	10	19	22	21	22	32	13	4	10	46	8	44	23	47	31
