	N1_1	N2_1	N3_1	N4_1	N5_1	N7_1	N9_1	N11_1	N13_1	N14_1	N15_1	W1_1	W3_1	W5_1	W6_1	W7_1	W10_1	W11_1	W12_1	W14_1
248902	9963	4097	5262	615	4976	191	146	125	102	45	98	37	43	91	2873	309	112	82	452	224
4482516	6380	335	5681	745	7977	186	84	77	94	78	99	86	57	75	1330	2053	39	52	120	120
107738	3	2	14	1314	30	1294	2944	2774	1375	3969	2065	2193	587	851	72	551	66	212	382	236
334386	4	18	25	943	46	869	1152	496	999	381	575	2097	1512	1079	485	179	336	453	406	216
545460	2	0	3	312	20	612	1162	1093	652	2137	958	1956	487	750	63	310	43	97	277	254
103802	0	5	8	241	2	492	957	997	686	295	876	1050	2151	483	25	109	1200	764	238	97
36075	2	19	28	724	93	858	1097	485	866	205	545	1800	1206	632	524	158	400	466	388	117
348395	6	73	45	167	43	444	367	138	295	216	933	210	645	1008	919	283	1417	1398	232	129
3447863	0	2	4	691	2	786	607	914	598	415	630	1062	585	174	42	123	89	250	105	82
1120966	12	36	13	478	7	632	414	606	832	274	896	160	242	299	379	72	550	252	720	188
243487	14	37	19	233	25	426	453	212	506	104	360	593	740	412	1058	283	522	583	226	92
3235430	2	6	3	226	13	450	490	218	349	110	342	691	840	353	275	61	265	216	135	64
678717	1425	22	1279	119	952	50	47	46	23	29	33	38	18	45	210	324	10	45	56	74
813668	0	0	1	239	4	189	458	533	242	801	259	1256	172	194	15	134	14	37	159	107
4400482	1153	76	757	146	1129	43	17	29	20	15	18	6	6	14	198	303	12	13	47	47
4377697	6	65	16	194	11	260	200	232	341	117	345	48	164	247	166	39	482	269	351	252
153559	300	274	805	63	412	25	19	34	139	67	169	8	25	53	293	71	148	127	378	307
750263	88	13	184	188	267	102	91	117	70	100	99	20	19	57	177	282	62	59	644	837
356574	74	2	778	80	251	58	53	76	33	44	60	3	94	250	13	574	14	288	47	678
353491	5	21	3	116	4	355	364	247	319	151	298	220	317	209	170	27	153	98	180	64
4325011	101	312	126	81	122	160	37	61	122	40	103	69	70	42	455	114	188	274	215	581
627587	6	2365	176	16	6	4	0	0	3	1	1	0	0	6	0	1	2	6	1	1
4478992	762	30	698	112	662	15	2	6	10	8	10	3	11	5	89	131	4	0	8	14
4478586	0	0	0	87	5	149	307	407	155	560	254	212	37	73	6	93	4	22	114	56
331865	532	8	492	45	418	27	28	15	14	11	16	13	7	15	88	119	5	15	21	48
310563	5	53	14	84	12	91	87	45	96	45	167	23	146	441	50	7	265	199	64	39
328912	0	27	15	42	30	167	91	37	140	55	196	61	149	272	77	9	239	135	107	68
729833	0	1	0	27	0	100	357	500	163	67	134	63	22	5	1	0	3	2	419	26
726730	26	18	155	122	370	122	70	63	52	36	76	11	135	345	19	103	11	75	35	44
228077	81	182	23	98	17	153	108	33	85	32	118	175	95	66	117	21	161	79	150	60
331093	0	0	0	31	1	103	199	234	106	309	156	469	60	55	4	30	3	6	40	14
320797	0	0	3	63	1	54	50	174	45	136	37	798	96	36	4	272	0	6	7	24
4315641	39	97	37	165	34	115	104	78	147	37	111	133	89	41	102	13	168	80	89	58
New.ReferenceOTU3284	525	25	364	24	564	3	1	3	2	2	1	1	1	2	107	20	2	1	11	2
846892	0	0	0	14	0	103	349	564	103	373	85	29	6	1	3	10	1	0	5	13
4366724	68	126	214	28	94	24	13	19	91	16	133	10	29	36	158	26	136	83	197	123
4479347	126	734	33	25	11	39	9	14	40	3	10	190	194	40	13	8	50	11	21	22
4409730	485	15	288	33	170	6	15	16	2	10	6	18	7	11	69	44	3	11	6	35
581541	0	0	0	57	1	80	105	191	95	142	86	242	45	9	27	139	1	5	14	10
264229	3	56	11	4	14	2	0	3	7	2	10	0	1	0	17	52	21	427	134	436
4456142	335	16	291	36	314	10	4	1	2	2	2	2	4	0	66	81	5	1	4	6
4409398	21	198	43	57	7	62	147	32	47	16	63	71	77	21	94	9	90	43	34	21
354682	0	0	7	87	6	322	93	73	64	40	103	29	81	36	18	34	65	34	16	24
4301165	11	76	6	17	7	82	26	48	88	17	33	252	206	46	39	4	52	19	49	44
719367	217	349	33	19	9	26	14	13	31	1	10	93	81	27	21	10	51	12	20	11
25051	43	25	217	66	190	29	14	13	13	5	17	1	7	23	109	53	52	48	71	33
349828	1	2	0	52	8	70	136	28	65	19	30	231	99	44	69	9	46	50	34	5
New.ReferenceOTU51473	275	19	195	7	388	3	2	2	2	0	0	0	2	0	71	27	1	0	0	2
159950	9	72	27	52	27	117	124	42	101	16	64	33	58	39	44	3	58	37	29	14
New.ReferenceOTU599	354	4	232	13	249	4	4	1	0	0	1	1	0	2	70	13	0	1	1	7
1117593	17	46	10	13	4	30	22	6	507	8	29	42	33	20	72	14	19	13	27	13
726414	1	0	2	13	9	30	35	41	14	66	32	516	68	36	2	53	1	7	5	14
New.ReferenceOTU29597	1	0	1	44	2	89	114	70	88	60	104	145	66	50	6	12	7	17	29	10
4400097	0	0	0	1	0	3	8	0	17	2	2	611	169	25	0	5	3	8	2	1
710745	0	0	0	8	0	3	3	43	36	8	23	122	35	414	10	34	9	82	20	3
New.ReferenceOTU5294	66	175	94	32	87	24	19	9	15	2	7	5	13	12	179	8	28	20	41	15
New.ReferenceOTU43530	60	31	95	46	196	25	7	11	21	6	16	17	19	9	153	65	17	15	8	14
304640	0	4	2	58	4	57	65	69	54	17	45	27	26	29	10	23	146	96	58	36
4400096	0	0	1	87	0	35	25	18	32	5	11	345	183	13	2	8	21	13	3	1
New.ReferenceOTU52852	0	45	8	9	0	7	6	7	29	2	24	49	168	12	35	25	144	160	15	37
New.ReferenceOTU17853	232	9	178	4	266	3	1	3	0	0	1	0	0	1	65	14	0	1	1	2
688993	8	0	27	9	18	7	3	10	4	49	5	0	3	13	5	51	11	37	72	412
1087471	0	0	0	281	12	49	12	19	13	104	48	2	0	3	18	47	19	16	60	34
174960	192	22	161	33	186	8	1	2	6	0	2	2	1	10	30	39	0	1	11	20
1120835	2	1	8	39	9	24	13	18	10	114	27	2	4	5	41	106	14	16	109	147
322506	36	31	13	31	8	82	57	19	46	11	27	124	52	7	59	10	38	13	28	11
141856	0	0	0	11	0	20	16	149	75	89	128	11	29	84	2	13	21	20	28	5
237444	115	18	192	58	124	13	4	3	64	6	5	6	20	6	32	21	0	4	0	4
347529	108	90	78	26	92	16	10	9	12	6	3	6	14	11	118	14	8	7	36	20
New.ReferenceOTU17211	0	0	0	5	1	30	91	80	23	193	61	102	24	26	1	11	2	4	15	1
995583	0	0	0	15	0	38	12	7	7	141	94	0	0	6	1	8	120	43	130	41
New.ReferenceOTU5508	0	3	2	41	4	72	55	30	39	47	116	12	39	85	9	1	28	19	34	15
4410507	1	4	10	23	3	60	42	21	30	20	101	25	49	80	27	3	46	33	49	11
New.ReferenceOTU24081	0	0	0	40	0	80	50	46	37	18	54	96	59	22	16	7	35	47	20	10
807278	0	0	0	36	1	51	63	118	52	123	48	41	6	4	2	33	10	7	21	15
4418832	132	1	109	26	269	4	1	0	1	0	0	0	1	0	27	48	1	0	3	4
239863	131	7	140	26	204	2	2	4	7	2	4	0	1	3	29	52	1	0	2	5
307281	0	0	0	32	0	57	81	122	74	128	63	11	2	0	2	7	0	1	0	1
486195	2	369	11	3	2	3	4	3	14	3	5	5	10	7	2	3	22	13	17	79
4357886	4	1	4	97	4	42	31	31	15	78	23	0	3	3	32	49	10	9	54	74
New.ReferenceOTU5455	0	0	0	56	0	42	95	113	48	121	51	6	1	1	1	5	0	1	1	3
New.ReferenceOTU42645	0	0	0	10	0	51	70	44	36	39	45	98	61	29	5	9	10	11	11	7
New.ReferenceOTU1375	0	0	0	47	0	49	59	91	58	130	52	11	1	1	1	4	0	0	2	3
New.ReferenceOTU19781	0	0	0	21	0	25	16	41	21	22	17	195	106	2	0	2	16	20	1	1
810672	0	0	0	45	2	28	39	43	16	12	34	11	96	116	3	33	2	9	8	6
333500	0	2	9	61	3	156	45	29	13	17	14	6	3	11	15	20	29	22	25	19
702999	0	0	0	23	0	15	16	87	78	50	42	22	54	16	1	3	41	17	8	5
New.ReferenceOTU3417	0	0	0	33	0	167	32	24	27	23	14	17	41	24	3	6	29	8	16	12
New.ReferenceOTU40557	5	16	29	10	27	1	2	1	23	0	12	2	9	76	20	2	15	45	130	49
4432516	117	9	72	7	199	2	1	0	2	0	1	0	0	1	33	11	0	0	2	0
4385507	3	400	9	1	1	2	0	2	3	1	2	1	3	8	0	0	0	3	1	6
4422142	20	76	20	31	21	14	3	4	9	3	9	3	10	9	28	7	17	14	35	109
269755	1	1	10	144	5	22	25	23	14	17	15	12	71	45	3	7	8	3	2	8
New.ReferenceOTU27804	111	9	57	2	184	1	2	2	1	0	0	0	0	0	52	6	0	0	4	0
New.ReferenceOTU25511	0	2	2	63	3	63	49	22	19	41	33	2	2	3	28	21	11	8	34	20
1128417	0	0	1	28	1	34	12	76	18	50	32	8	9	6	1	41	1	12	14	75
1106324	1	20	4	6	3	63	34	21	43	5	27	17	28	11	23	1	50	32	19	9
7061	5	18	20	38	17	54	98	36	49	7	17	7	7	9	11	0	2	7	1	7
320222	1	33	55	39	28	55	28	17	21	12	16	6	12	15	15	1	8	16	21	4
4381109	47	77	8	8	3	13	18	6	22	0	11	54	35	12	26	3	13	13	2	2
New.ReferenceOTU38477	0	0	2	9	0	46	51	19	31	31	39	61	26	14	3	3	3	12	8	8
153856	0	0	0	9	0	11	7	21	31	108	56	8	18	18	8	4	25	7	34	0
343569	0	0	0	24	1	38	21	13	19	20	80	10	25	61	2	1	17	14	8	8
327583	0	7	0	4	0	31	22	5	20	1	34	17	42	13	17	5	90	34	12	5
New.ReferenceOTU16541	2	0	5	13	6	8	17	5	4	8	12	11	6	6	62	29	115	24	14	3
2174312	0	0	0	10	0	15	27	66	42	70	32	17	5	3	10	5	0	1	34	4
2225203	46	5	40	8	158	6	1	1	1	0	1	1	0	0	26	39	1	2	0	2
4041792	89	3	63	8	127	0	1	1	4	0	0	1	2	0	14	15	1	0	1	0
310462	0	0	0	1	0	5	22	62	15	155	29	8	2	5	0	3	1	0	9	10
760914	0	3	1	32	0	5	6	21	41	7	18	34	40	8	1	4	71	26	6	1
95883	0	0	2	1	1	9	5	16	5	11	24	50	23	15	64	32	9	15	26	17
461206	0	0	0	3	0	10	12	14	3	0	6	157	79	3	4	10	1	11	1	1
1011210	1	21	5	10	7	14	4	8	41	2	18	25	21	6	35	4	43	18	19	7
4332795	4	7	1	12	0	39	21	5	24	18	32	20	23	15	17	3	28	7	23	8
New.ReferenceOTU38616	0	0	0	4	0	19	46	52	13	83	29	30	5	7	0	5	0	2	4	4
174353	79	0	61	3	115	1	0	2	1	1	1	0	0	0	13	17	1	1	0	3
New.ReferenceOTU50173	0	0	0	3	0	10	43	41	6	76	33	40	6	9	1	12	1	3	8	0
247639	107	0	77	2	65	0	1	1	1	1	0	2	1	0	9	19	0	0	0	5
New.ReferenceOTU48796	0	0	0	5	0	23	25	18	25	4	12	23	52	7	1	3	59	24	6	2
2641600	20	39	15	17	85	7	2	3	4	1	6	8	2	4	11	5	6	3	12	36
New.ReferenceOTU50067	0	4	4	2	3	4	1	6	16	16	42	2	2	9	20	1	34	17	50	49
New.ReferenceOTU51225	0	0	0	33	0	54	51	40	33	26	19	2	6	1	5	1	2	1	1	1
823671	1	0	0	8	3	14	28	22	16	59	21	25	5	11	1	21	1	9	15	15
4388776	0	0	0	1	0	8	21	64	19	43	21	10	3	3	4	5	0	2	28	41
1130824	38	2	2	2	0	1	2	1	2	4	1	3	110	20	3	6	13	3	5	55
699206	5	14	4	7	3	17	10	5	33	9	16	29	33	10	21	2	22	4	16	12
586558	1	0	2	20	6	15	21	24	12	25	36	0	0	0	2	6	1	8	21	71
4426763	88	60	8	11	3	11	14	2	11	4	0	16	11	9	3	1	6	6	2	0
New.ReferenceOTU35192	9	10	9	0	12	0	0	0	24	4	9	1	1	11	9	1	14	16	61	73
161616	3	23	3	4	2	16	7	9	16	5	14	19	4	2	22	1	47	9	34	17
1127748	122	79	7	0	2	0	2	1	3	0	1	7	12	7	3	0	0	3	0	1
New.ReferenceOTU58571	0	0	0	13	2	9	27	19	6	18	17	3	7	15	0	62	0	9	3	39
New.ReferenceOTU4006	0	75	1	0	1	1	0	2	51	3	15	12	24	19	7	8	20	4	0	2
New.ReferenceOTU54233	68	4	44	2	94	1	2	0	1	0	0	0	0	1	12	3	0	0	3	1
144640	1	12	2	12	2	22	29	10	12	6	6	19	34	8	11	1	20	9	11	8
New.ReferenceOTU26857	22	41	16	55	15	9	4	6	8	2	0	6	1	2	8	2	0	2	12	16
161421	0	0	0	31	0	13	17	11	3	16	1	0	0	1	3	42	5	3	30	51
New.ReferenceOTU6161	28	15	23	5	32	10	5	5	4	0	5	1	3	3	56	0	15	3	10	4
New.ReferenceOTU27145	6	1	10	11	50	2	0	0	0	0	1	6	1	0	49	77	6	3	2	0
New.ReferenceOTU52886	0	0	1	24	4	17	4	11	2	15	12	0	0	0	8	39	1	2	21	61
1124268	3	5	3	14	1	24	16	10	19	1	11	28	17	10	8	0	20	16	9	6
New.ReferenceOTU41960	14	5	86	1	18	0	0	0	3	4	11	1	1	0	19	6	3	4	29	16
3704352	0	0	0	4	0	11	11	24	9	50	35	0	1	2	1	32	6	10	5	15
New.ReferenceOTU42061	4	0	4	5	20	5	1	7	0	2	2	0	1	11	10	46	1	10	31	55
711023	43	46	21	6	75	1	0	0	1	1	0	0	0	0	1	3	0	1	0	15
4377842	32	42	28	5	3	5	3	2	5	1	2	7	26	1	36	6	4	1	0	3
4418260	4	78	6	38	1	5	17	3	7	2	4	8	9	3	14	1	7	0	0	4
784002	5	15	3	5	10	8	0	0	0	1	1	0	0	1	35	12	9	34	15	55
New.ReferenceOTU30090	3	1	9	2	17	6	7	9	6	9	7	17	8	11	40	3	18	14	17	5
847670	26	1	16	12	47	2	0	0	1	6	5	1	5	2	13	40	1	0	7	22
New.ReferenceOTU42209	0	0	2	32	3	7	6	10	4	13	9	1	1	0	9	27	2	1	33	46
704995	17	7	19	2	25	6	1	0	1	0	1	3	2	21	9	31	23	11	12	15
4474081	0	0	1	9	0	41	16	19	27	12	19	5	10	10	2	0	6	5	15	7
4379869	10	10	19	8	14	0	1	4	19	2	16	4	0	4	30	5	16	16	10	11
213088	5	1	7	25	9	3	3	5	5	23	16	1	3	6	4	28	1	1	30	19
27188	5	0	7	3	16	4	5	7	0	4	10	1	1	52	2	18	6	18	12	24
242917	29	2	66	11	28	1	0	0	31	0	0	1	1	5	11	7	0	0	0	2
New.ReferenceOTU49548	0	0	0	9	0	7	8	21	5	6	12	15	41	41	0	6	2	7	3	3
790567	1	18	4	0	10	0	1	0	14	0	1	5	0	15	5	4	5	12	39	51
4452118	7	77	5	16	2	10	6	7	12	1	2	12	3	5	4	1	4	2	4	2
4253231	0	0	0	39	0	30	9	13	10	10	7	3	2	1	5	3	5	1	26	15
1141377	18	48	13	4	0	6	12	2	6	2	9	7	2	0	21	4	11	2	4	7
New.ReferenceOTU56800	13	1	48	5	59	1	0	0	0	2	3	3	1	1	19	15	0	2	2	3
564581	63	2	48	8	26	2	0	0	1	2	2	1	0	3	6	10	0	0	1	1
527762	49	33	49	3	17	2	1	0	0	0	4	0	0	0	11	5	0	1	0	1
New.ReferenceOTU48010	0	0	0	13	0	21	19	20	15	23	22	7	10	4	14	1	0	0	5	1
1054065	0	0	0	24	0	18	12	72	9	2	12	14	4	1	0	1	0	1	0	3
85393	0	0	0	5	0	9	1	1	5	13	6	56	8	7	0	0	1	1	59	1
2792168	1	7	5	2	3	7	2	12	13	2	12	11	16	12	22	3	16	9	11	6
3529365	0	0	0	3	0	19	14	18	16	12	22	3	9	29	1	0	2	10	5	8
New.ReferenceOTU40822	0	0	13	11	4	18	5	6	4	8	5	3	2	0	11	14	7	5	31	24
703741	33	5	54	11	10	0	0	1	34	3	1	3	4	1	2	1	0	1	0	5
New.ReferenceOTU10253	1	4	2	4	0	3	6	6	8	0	7	16	21	7	7	5	20	44	5	3
439462	0	1	0	11	2	4	2	2	2	22	2	1	4	0	2	3	36	6	63	3
New.ReferenceOTU3617	1	0	2	5	2	2	1	5	1	2	1	2	14	102	2	9	1	13	1	0
New.ReferenceOTU35633	0	0	0	33	1	8	3	10	1	22	8	1	0	0	20	47	4	0	4	3
New.ReferenceOTU2097	0	0	0	0	0	11	24	11	13	14	14	33	19	9	3	4	1	1	4	4
New.ReferenceOTU24095	16	4	32	16	13	4	2	3	1	0	4	1	0	2	31	6	16	4	6	2
New.ReferenceOTU54591	0	0	0	4	0	10	6	3	0	55	1	6	0	1	1	31	5	4	18	17
New.ReferenceOTU40538	0	0	0	5	0	66	14	7	9	5	6	12	12	6	2	2	7	2	3	3
New.ReferenceOTU58846	0	0	4	8	3	5	15	10	5	17	10	2	6	19	0	17	0	12	4	22
New.ReferenceOTU41615	28	5	46	5	30	2	0	0	1	2	1	0	0	1	24	2	1	1	6	2
New.ReferenceOTU24043	0	0	0	13	0	18	31	21	10	37	15	1	1	2	1	1	0	1	1	0
New.ReferenceOTU5270	12	7	44	2	25	1	0	3	0	1	3	0	1	2	37	1	1	2	6	3
New.ReferenceOTU2961	0	0	0	2	1	18	15	14	20	6	15	21	15	6	2	2	2	2	5	4
717874	0	0	0	4	0	6	22	31	7	36	10	25	2	0	0	2	0	0	3	2
New.ReferenceOTU33022	0	0	0	13	0	23	29	14	11	14	6	18	6	4	4	2	0	2	2	0
New.ReferenceOTU53812	0	0	0	0	0	12	33	26	17	5	14	8	4	1	0	0	1	1	21	4
546972	9	0	4	1	6	0	1	1	3	5	1	0	2	1	0	5	5	3	12	87
